iter	Passed	Remaining
0	14	14227
1	19	9916
2	26	8891
3	32	7988
4	35	7087
5	43	7195
6	49	6988
7	53	6576
8	56	6209
9	59	5927
10	63	5753
11	67	5572
12	71	5402
13	74	5230
14	79	5211
15	82	5086
16	84	4910
17	88	4812
18	91	4713
19	96	4706
20	99	4632
21	102	4559
22	106	4512
23	109	4464
24	113	4417
25	116	4368
26	119	4316
27	122	4267
28	126	4233
29	129	4190
30	132	4149
31	135	4113
32	139	4085
33	144	4103
34	148	4093
35	151	4059
36	154	4031
37	159	4031
38	162	4002
39	172	4134
40	175	4114
41	179	4083
42	182	4052
43	185	4024
44	188	4008
45	193	4006
46	196	3983
47	199	3957
48	203	3942
49	207	3937
50	210	3913
51	213	3900
52	217	3885
53	220	3869
54	225	3866
55	227	3840
56	230	3814
57	233	3789
58	235	3763
59	239	3745
60	241	3723
61	244	3700
62	247	3687
63	250	3664
64	253	3643
65	256	3629
66	259	3609
67	262	3595
68	265	3583
69	268	3568
70	272	3571
71	276	3557
72	279	3545
73	282	3529
74	284	3511
75	288	3501
76	290	3485
77	293	3469
78	296	3456
79	299	3441
80	302	3427
81	306	3429
82	309	3414
83	311	3400
84	314	3385
85	317	3373
86	321	3373
87	323	3351
88	326	3337
89	328	3323
90	331	3312
91	334	3297
92	338	3304
93	341	3292
94	344	3280
95	346	3267
96	349	3254
97	351	3233
98	355	3231
99	357	3219
100	360	3209
101	363	3198
102	366	3193
103	370	3193
104	373	3184
105	376	3173
106	379	3164
107	381	3154
108	385	3153
109	388	3145
110	391	3135
111	394	3125
112	396	3115
113	399	3105
114	403	3106
115	406	3097
116	409	3087
117	411	3072
118	414	3065
119	417	3063
120	442	3214
121	445	3206
122	448	3196
123	452	3197
124	455	3190
125	459	3184
126	461	3174
127	464	3164
128	469	3168
129	472	3163
130	476	3161
131	479	3155
132	483	3154
133	487	3148
134	490	3141
135	493	3132
136	495	3123
137	500	3124
138	503	3118
139	507	3115
140	510	3109
141	513	3105
142	519	3115
143	523	3110
144	526	3101
145	528	3093
146	531	3083
147	535	3083
148	539	3078
149	542	3071
150	544	3062
151	549	3066
152	553	3065
153	556	3059
154	562	3066
155	566	3064
156	569	3058
157	572	3049
158	574	3041
159	578	3034
160	582	3037
161	585	3029
162	588	3021
163	591	3013
164	594	3007
165	598	3007
166	601	3000
167	603	2989
168	606	2981
169	608	2973
170	613	2974
171	616	2967
172	619	2960
173	621	2952
174	624	2944
175	629	2947
176	632	2938
177	634	2931
178	637	2924
179	640	2916
180	644	2915
181	668	3005
182	699	3124
183	702	3116
184	705	3109
185	710	3109
186	714	3107
187	718	3101
188	721	3095
189	725	3090
190	729	3089
191	732	3082
192	735	3074
193	738	3067
194	742	3065
195	776	3185
196	779	3179
197	782	3167
198	784	3158
199	787	3151
200	791	3145
201	795	3141
202	797	3132
